id_student,total_early_clicks,clicks_per_active_day,active_days,longest_inactivity_gap,days_since_last_active,activity_delta,weekly_click_ratio,studied_credits
11391,203,40.6,5,5,5,-163,0.11413043478260869,240
28400,241,34.42857142857143,7,6,6,-109,0.3806818181818182,60
31604,180,22.5,8,5,0,136,6.913043478260869,60
32885,177,19.666666666666668,9,3,1,55,1.8870967741935485,60
38053,291,22.384615384615383,13,1,0,21,1.1544117647058822,60
45462,74,24.666666666666668,3,9,9,-74,0.013333333333333334,60
45642,105,15.0,7,4,0,49,2.689655172413793,120
52130,95,13.571428571428571,7,4,0,43,2.5925925925925926,90
53025,206,29.428571428571427,7,4,4,0,1.0,60
57506,181,18.1,10,3,1,-45,0.6052631578947368,60
58873,131,18.714285714285715,7,3,1,-21,0.7272727272727273,60
59185,329,36.55555555555556,9,2,0,179,3.3552631578947367,60
62155,60,30.0,2,7,7,-20,0.5121951219512195,60
63400,188,23.5,8,4,1,72,2.2203389830508473,60
65002,71,17.75,4,6,0,-41,0.2807017543859649,60
70464,180,30.0,6,4,1,-32,0.7009345794392523,60
71361,498,41.5,12,1,0,194,2.2679738562091503,60
74372,0,0.0,0,15,15,0,1.0,150
75091,216,21.6,10,1,0,-36,0.7165354330708661,60
77367,110,7.857142857142857,14,1,0,-26,0.6231884057971014,60
91265,65,13.0,5,4,2,-13,0.675,60
94961,140,20.0,7,3,2,34,1.6296296296296295,60
98094,424,30.285714285714285,14,1,1,34,1.1734693877551021,60
100893,42,7.0,6,4,1,-32,0.15789473684210525,60
101781,696,58.0,12,2,1,332,2.814207650273224,60
102806,285,21.923076923076923,13,1,0,75,1.7075471698113207,60
102952,232,33.142857142857146,7,3,2,-10,0.9180327868852459,60
104476,547,39.07142857142857,14,1,0,-181,0.5041095890410959,60
106247,11,11.0,1,12,2,11,12.0,60
106577,60,30.0,2,8,1,-50,0.10714285714285714,60
110175,124,24.8,5,6,4,72,3.6666666666666665,60
111717,303,30.3,10,3,0,-43,0.7528735632183908,60
113295,496,45.09090909090909,11,2,0,86,1.4174757281553398,60
114017,265,37.857142857142854,7,4,0,259,65.75,60
114999,101,12.625,8,2,0,15,1.3409090909090908,60
116541,177,25.285714285714285,7,4,0,33,1.452054794520548,60
116692,102,20.4,5,2,2,32,1.8888888888888888,60
118983,10,5.0,2,9,1,10,11.0,120
123044,334,41.75,8,3,3,-158,0.3603238866396761,60
127582,128,16.0,8,2,2,84,4.6521739130434785,180
129955,213,17.75,12,1,0,-55,0.5925925925925926,60
132976,90,30.0,3,7,0,-30,0.5081967213114754,120
134143,313,62.6,5,7,7,-301,0.022727272727272728,60
135335,21,5.25,4,4,0,19,10.5,180
135400,99,14.142857142857142,7,4,4,29,1.8055555555555556,60
137873,315,45.0,7,4,0,235,6.7317073170731705,60
141355,223,37.166666666666664,6,4,2,-81,0.47058823529411764,240
141377,6,3.0,2,6,4,4,3.0,345
142326,137,27.4,5,6,2,117,11.636363636363637,60
144801,463,30.866666666666667,15,0,0,95,1.5135135135135136,60
145130,46,15.333333333333334,3,6,6,44,23.0,120
